"","X","Name","Position","College","DraftYear","Team","DraftRound","PickNumber","PlayerID","Games","AvgValue","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","ProBowls","AllPros"
"1",12,"Alvin Kamara","RB","Tennessee",2017,"NO",3,67,"KamaAl00",45,43,15.28888889,69.75,214,24,4.56,15,39.5,131,4.56,NA,3,NA
"2",17,"Ezekiel Elliott","RB","Ohio State",2016,"DAL",1,4,"ElliEz00",56,52,14.85714286,71.75,225,NA,4.47,NA,32.5,118,NA,NA,3,2
"3",18,"LaDainian Tomlinson","RB","Texas Christian",2001,"SD",1,5,"TomlLa00",170,157,14.77647059,70.3,221,NA,4.43,18,40.5,124,4.21,6.84,5,6
"4",27,"Domanick Williams","RB",NA,2003,"HOU",4,101,"DaviDo01",40,34,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",30,"Le'Veon Bell","RB","Michigan State",2013,"PIT",2,48,"BellLe00",77,65,13.50649351,73.375,230,NA,4.6,24,31.5,118,4.24,6.75,3,1
"6",31,"Christian McCaffrey","RB","Stanford",2017,"CAR",1,8,"McCaCh01",48,40,13.33333333,71.25,202,21,4.48,10,37.5,121,4.22,6.57,1,NA
"7",32,"Kareem Hunt","RB","Toledo",2017,"KC",3,86,"HuntKa00",35,29,13.25714286,70.5,216,NA,4.62,18,36.5,119,NA,NA,1,NA
"8",33,"Dalvin Cook","RB","Florida State",2017,"MIN",2,41,"CookDa01",29,24,13.24137931,71.125,210,NA,4.49,22,30.5,116,4.53,7.27,1,1
"9",40,"Saquon Barkley","RB","Penn State",2018,"NYG",1,2,"BarkSa00",29,23,12.68965517,72,233,NA,4.4,29,41,NA,4.24,NA,1,1
"10",51,"Ray Rice","RB","Rutgers",2008,"BAL",2,55,"RiceRa00",92,70,12.17391304,68,199,NA,4.46,23,31.5,119,4.2,6.65,3,2
"11",55,"Adrian Peterson","RB","Oklahoma",2007,"MIN",1,7,"PeteAd01",164,121,11.80487805,73.5,217,16,4.41,NA,38.5,127,4.4,7.09,7,7
